Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional\
459,Juan Toscano-Anderson,SF,29,LAL,30,7,365,33,66,0.5,4,20,0.2,29,46,0.63,0.53,11,15,0.733,14,47,61,25,10,7,17,46,81,toscaju01\
459,Juan Toscano-Anderson,SF,29,UTA,7,0,82,5,17,0.294,2,6,0.333,3,11,0.273,0.353,0,0,,2,18,20,7,3,1,4,9,12,toscaju01\
460,Karl-Anthony Towns,PF,27,MIN,21,21,709,153,303,0.505,38,117,0.325,115,186,0.618,0.568,92,104,0.885,35,137,172,111,16,14,65,82,436,townska01\
461,Gary Trent Jr.,SG,24,TOR,57,43,1886,367,835,0.44,150,405,0.37,217,430,0.505,0.529,154,184,0.837,24,125,149,92,91,14,52,94,1038,trentga02\
462,P.J. Tucker,PF,37,PHI,62,62,1602,78,183,0.426,45,112,0.402,33,71,0.465,0.549,19,22,0.864,79,166,245,48,30,13,38,152,220,tuckepj01\
463,Myles Turner,C,26,IND,56,56,1662,363,664,0.547,90,232,0.388,273,432,0.632,0.614,189,243,0.778,82,346,428,75,35,130,94,190,1005,turnemy01\
464,Stanley Umude,SG,23,DET,1,0,2,0,1,0,0,1,0,0,0,,0,2,2,1,0,0,0,0,1,1,0,0,2,umudest01\
465,Jonas Valan\uc0\u269 i\u363 nas,C,30,NOP,62,62,1549,352,644,0.547,32,93,0.344,320,551,0.581,0.571,151,184,0.821,174,430,604,105,16,30,118,190,887,valanjo01\
466,Jarred Vanderbilt,PF,23,TOT,62,49,1496,204,369,0.553,21,67,0.313,183,302,0.606,0.581,80,118,0.678,143,348,491,163,67,18,80,154,509,vandeja01\
466,Jarred Vanderbilt,PF,23,UTA,52,41,1254,173,311,0.556,19,57,0.333,154,254,0.606,0.587,67,102,0.657,121,288,409,142,53,15,68,133,432,vandeja01\
466,Jarred Vanderbilt,PF,23,LAL,10,8,242,31,58,0.534,2,10,0.2,29,48,0.604,0.552,13,16,0.813,22,60,82,21,14,3,12,21,77,vandeja01\
467,Fred VanVleet,PG,28,TOR,54,54,1997,342,873,0.392,162,476,0.34,180,397,0.453,0.485,202,225,0.898,27,203,230,372,87,33,102,153,1048,vanvlfr01\
468,Devin Vassell,SG,22,SAS,31,25,958,219,493,0.444,86,218,0.394,133,275,0.484,0.531,70,89,0.787,6,112,118,111,36,12,47,43,594,vassede01\
469,Gabe Vincent,PG,26,MIA,52,18,1373,173,447,0.387,91,283,0.322,82,164,0.5,0.489,57,65,0.877,20,97,117,130,46,4,76,130,494,vincega01\
