Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional\
480,T.J. Warren,SF,29,PHO,4,0,31,4,11,0.364,1,2,0.5,3,9,0.333,0.409,0,0,,3,6,9,0,2,1,1,2,9,warretj01\
481,Duane Washington Jr.,SG,22,PHO,31,3,394,94,256,0.367,40,111,0.36,54,145,0.372,0.445,16,24,0.667,2,34,36,63,6,4,34,23,244,washidu02\
482,P.J. Washington,PF,24,CHO,62,62,2041,354,801,0.442,125,357,0.35,229,444,0.516,0.52,105,141,0.745,63,237,300,149,55,69,89,167,938,washipj01\
483,TyTy Washington Jr.,PG,21,HOU,29,2,401,55,153,0.359,17,76,0.224,38,77,0.494,0.415,10,16,0.625,2,39,41,47,13,2,14,27,137,washity02\
484,Yuta Watanabe,SF,28,BRK,45,0,786,101,196,0.515,53,111,0.477,48,85,0.565,0.651,29,39,0.744,26,85,111,38,20,15,17,65,284,watanyu01\
485,Lindy Waters III,SG,25,OKC,28,0,304,40,100,0.4,35,93,0.376,5,7,0.714,0.575,9,12,0.75,7,38,45,19,10,8,6,26,124,waterli01\
486,Trendon Watford,PF,22,POR,49,2,851,111,191,0.581,17,43,0.395,94,148,0.635,0.626,50,70,0.714,32,136,168,93,21,6,57,95,289,watfotr01\
487,Peyton Watson,SG,20,DEN,14,0,44,10,19,0.526,2,4,0.5,8,15,0.533,0.579,0,2,0,3,5,8,1,0,1,2,2,22,watsope01\
488,Blake Wesley,SG,19,SAS,21,1,317,38,101,0.376,13,27,0.481,25,74,0.338,0.441,13,21,0.619,4,35,39,32,10,1,33,40,102,weslebl01\
489,Russell Westbrook,PG,34,TOT,58,9,1681,341,800,0.426,68,231,0.294,273,569,0.48,0.469,169,254,0.665,62,283,345,441,62,25,210,139,919,westbru01\
489,Russell Westbrook,PG,34,LAL,52,3,1491,304,729,0.417,63,213,0.296,241,516,0.467,0.46,156,238,0.655,59,262,321,391,53,23,184,121,827,westbru01\
489,Russell Westbrook,PG,34,LAC,6,6,190,37,71,0.521,5,18,0.278,32,53,0.604,0.556,13,16,0.813,3,21,24,50,9,2,26,18,92,westbru01\
490,Coby White,SG,22,CHI,57,1,1273,180,428,0.421,93,259,0.359,87,169,0.515,0.529,51,60,0.85,11,139,150,123,43,6,48,93,504,whiteco01\
491,Derrick White,SG,28,BOS,66,54,1834,272,601,0.453,114,304,0.375,158,297,0.532,0.547,128,148,0.865,41,180,221,251,45,59,72,148,786,whitede01\
492,Jack White,SF,25,DEN,15,0,47,7,16,0.438,3,8,0.375,4,8,0.5,0.531,2,3,0.667,3,5,8,2,1,2,1,7,19,whiteja03\
493,Joe Wieskamp,SF,23,TOR,3,0,24,3,8,0.375,3,7,0.429,0,1,0,0.563,0,0,,0,2,2,1,0,0,1,1,9,wieskjo01\
494,Aaron Wiggins,SG,24,OKC,53,13,1016,142,281,0.505,37,95,0.389,105,186,0.565,0.571,44,55,0.8,58,110,168,71,29,12,43,87,365,wiggiaa01\
495,Andrew Wiggins,SF,27,GSW,37,37,1190,250,529,0.473,89,225,0.396,161,304,0.53,0.557,44,72,0.611,61,125,186,85,45,28,48,107,633,wiggian01\
496,Lindell Wigginton,PG,24,MIL,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,wiggili01\
497,Alondes Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0,willial06\
498,Grant Williams,PF,24,BOS,64,21,1746,178,390,0.456,95,233,0.408,83,157,0.529,0.578,86,106,0.811,72,232,304,114,38,25,72,169,537,willigr01\
499,Jalen Williams,SG,21,OKC,60,47,1771,316,607,0.521,58,166,0.349,258,441,0.585,0.568,105,137,0.766,59,194,253,187,81,32,92,155,795,willija06\
500,Jaylin Williams,PF,20,OKC,33,20,581,70,158,0.443,28,68,0.412,42,90,0.467,0.532,20,29,0.69,30,130,160,48,13,8,24,70,188,willija07\
501,Kenrich Williams,PF,28,OKC,53,10,1206,179,346,0.517,50,134,0.373,129,212,0.608,0.59,17,39,0.436,97,164,261,105,45,14,32,112,425,willike04\
502,Mark Williams,C,21,CHO,36,11,644,124,194,0.639,0,0,,124,194,0.639,0.639,54,76,0.711,73,160,233,14,25,40,31,81,302,willima07\
503,Patrick Williams,PF,21,CHI,65,59,1864,249,534,0.466,90,218,0.413,159,316,0.503,0.551,74,86,0.86,63,212,275,84,53,50,83,125,662,willipa01\
504,Robert Williams,C,25,BOS,28,18,678,108,144,0.75,0,1,0,108,143,0.755,0.75,20,32,0.625,87,154,241,43,14,33,25,53,236,williro04\
505,Vince Williams Jr.,SG,22,MEM,11,0,52,4,14,0.286,2,10,0.2,2,4,0.5,0.357,0,0,,2,5,7,3,4,1,1,6,10,willivi01\
506,Ziaire Williams,SF,21,MEM,33,3,507,68,166,0.41,20,84,0.238,48,82,0.585,0.47,13,17,0.765,12,59,71,25,13,5,31,56,169,willizi02\
507,Zion Williamson,PF,22,NOP,29,29,956,285,469,0.608,7,19,0.368,278,450,0.618,0.615,177,248,0.714,58,144,202,133,32,16,99,65,754,willizi01\
508,Justise Winslow,SF,26,POR,29,11,776,81,198,0.409,14,45,0.311,67,153,0.438,0.444,20,28,0.714,49,96,145,98,30,11,43,89,196,winslju01\
509,James Wiseman,C,21,TOT,29,6,467,101,165,0.612,2,8,0.25,99,157,0.631,0.618,36,54,0.667,33,102,135,20,5,15,32,64,240,wisemja01\
509,James Wiseman,C,21,GSW,21,0,262,59,94,0.628,1,2,0.5,58,92,0.63,0.633,26,38,0.684,18,55,73,14,3,7,14,39,145,wisemja01\
509,James Wiseman,C,21,DET,8,6,205,42,71,0.592,1,6,0.167,41,65,0.631,0.599,10,16,0.625,15,47,62,6,2,8,18,25,95,wisemja01\
510,Christian Wood,C,27,DAL,54,17,1446,335,643,0.521,89,242,0.368,246,401,0.613,0.59,169,222,0.761,70,345,415,88,23,61,99,145,928,woodch01\
511,Delon Wright,PG,30,WAS,36,8,867,94,197,0.477,33,86,0.384,61,111,0.55,0.561,35,39,0.897,42,79,121,142,76,13,34,47,256,wrighde01\
512,McKinley Wright IV,PG,24,DAL,20,1,206,23,49,0.469,4,14,0.286,19,35,0.543,0.51,7,11,0.636,6,20,26,37,7,3,12,18,57,wrighmc01\
513,Thaddeus Young,PF,34,TOR,52,9,786,108,196,0.551,6,34,0.176,102,162,0.63,0.566,18,26,0.692,70,94,164,75,54,5,42,86,240,youngth01\
514,Trae Young,PG,24,ATL,58,58,2037,486,1137,0.427,123,379,0.325,363,758,0.479,0.482,450,507,0.888,44,129,173,585,65,9,237,86,1545,youngtr01\
515,Cody Zeller,C,30,MIA,7,0,96,14,22,0.636,0,0,,14,22,0.636,0.636,14,19,0.737,11,8,19,5,1,3,5,17,42,zelleco01\
516,Ivica Zubac,C,25,LAC,61,61,1780,245,396,0.619,0,2,0,245,394,0.622,0.619,130,185,0.703,203,413,616,65,24,81,104,179,620,zubaciv01}
